20141001060101.log 106.471 10.5032
20141001063820.log 113.854 16.4324
20141001064821.log 115.913 17.9699
20141001073823.log 126.879 25.2037
20141001074824.log 129.22 26.5356
20141001075825.log 131.636 27.8317
20141001080826.log 134.104 29.0753
20141001090828.log 150.24 35.3158
20141001091829.log 153.172 36.1231
20141001092829.log 156.129 36.8436
20141001093838.log 160.172 37.6814
20141001094838.log 162.271 38.0511
20141001095839.log 165.411 38.5232
20141001100840.log 168.579 38.9031
20141001101735.log 171.441 39.1647
20141001102736.log 174.65 39.3672
20141001103737.log 177.879 39.4751
20141001104738.log 181.124 39.4872
20141001105738.log 184.35 39.4036
20141001130143.log 221.221 31.1299
20141001131143.log 223.795 29.9808
20141001132144.log 226.31 28.7752
20141001133145.log 228.762 27.5188
20141001134145.log 231.15 26.2172
20141001142147.log 240.164 20.5996
20141001143148.log 242.298 19.1073
20141001145148.log 246.434 16.0432
20141001152150.log 252.383 11.267
20141001154152.log 256.216 7.99032
20141001155152.log 258.107 6.32538
20141002052904.log 100.745 5.00893
20141002054904.log 104.512 8.31927
20141002055905.log 106.424 9.95284
20141002061907.log 110.3 13.1536
20141002063907.log 114.34 16.3073
20141002064908.log 116.402 17.8386
20141002065909.log 118.507 19.3449
20141002070910.log 120.655 20.8211
20141002071910.log 122.85 22.2644
20141002073912.log 127.39 25.0408
20141002074112.log 127.851 25.307
20141002081113.log 135.107 29.1168
20141002082114.log 137.642 30.2835
20141002083114.log 140.244 31.3958
20141002115031.log 201.02 37.0157
20141002120031.log 204.009 36.3664
20141002121032.log 206.963 35.6323
20141002122032.log 209.858 34.8209
20141002123032.log 212.686 33.9372
20141002124033.log 215.459 32.9807
20141002125033.log 218.155 31.9631
20141002130033.log 220.791 30.8817
20141002131034.log 223.367 29.74
20141002132034.log 225.875 28.5456
20141002133035.log 228.327 27.2979
20141002134036.log 230.719 26.0025
20141002135036.log 233.054 24.6627
20141002140036.log 235.33 23.2841
20141002141037.log 237.555 21.8676
20141002153127.log 254.042 9.35405
20141002154127.log 255.94 7.71559
20141003053605.log 102.366 5.93008
20141003054606.log 104.26 7.58776
20141003080629.log 134.212 28.2421
20141003081629.log 136.716 29.4301
20141003082629.log 139.282 30.5634
20141003083630.log 141.911 31.6383
20141003085037.log 145.745 33.0539
20141003090038.log 148.526 33.9725
20141003092038.log 154.268 35.5914
20141003094039.log 160.239 36.899
20141003095039.log 163.298 37.4273
20141003100040.log 166.405 37.869
20141003103042.log 175.904 38.6459
20141003104042.log 179.098 38.7172
20141003105042.log 182.294 38.6939
20141003110043.log 185.49 38.5758
20141003122836.log 212.073 33.7217
20141003123836.log 214.832 32.7852
20141003124836.log 217.533 31.7807
20141003125836.log 220.17 30.7136
20141003132837.log 227.707 27.1733
20141003140839.log 236.953 21.7869
20141003141839.log 239.134 20.3448
20141003142839.log 241.269 18.8699
20141003144840.log 245.419 15.8299
20141003153841.log 255.222 7.82574
20141003154842.log 257.106 6.17592
20141004070701.log 120.815 19.9776
20141004071550.log 122.725 21.243
20141004084149.log 143.616 31.8683
20141004122201.log 210.148 33.9123
20141004123202.log 212.935 33.0235
20141004125202.log 218.333 31.0408
20141004130202.log 220.938 29.9557
20141004132203.log 225.971 27.6125
20141004135204.log 233.069 23.733
20141004140204.log 235.326 22.3543
20141004142204.log 239.705 19.4798
20141004143205.log 241.824 17.9942
20141004144205.log 243.899 16.4818
20141004145206.log 245.937 14.9427
20141004150206.log 247.943 13.3765
20141004151206.log 249.914 11.7909
20141004154207.log 255.682 6.91196
20141005053816.log 103.419 5.82703
20141005060332.log 108.218 9.93844
20141005063334.log 114.148 14.6861
20141005064334.log 116.151 16.1946
20141005065334.log 118.247 17.717
20141005070335.log 120.369 19.1996
20141005071335.log 122.528 20.6452
20141005080338.log 134.088 27.2982
20141005081338.log 136.565 28.489
20141005082338.log 139.102 29.626
20141005083339.log 141.704 30.7071
20141005084339.log 144.364 31.7253
20141005085339.log 147.089 32.6802
20141005090340.log 149.871 33.5649
20141005091341.log 152.717 34.3789
20141005093342.log 158.569 35.7752
20141005094342.log 161.573 36.3521
20141005100343.log 167.698 37.2465
20141005101343.log 170.81 37.5603
20141005103344.log 177.107 37.913
20141005104345.log 180.267 37.9492
20141005105345.log 183.419 37.892
20141005111346.log 189.71 37.4978
20141005112347.log 192.82 37.1631
20141005113347.log 195.893 36.7396
20141005114348.log 198.932 36.2282
20141005121350.log 207.743 34.2024
20141005122350.log 210.575 33.3715
20141005123551.log 213.903 32.2775
20141005124551.log 216.597 31.2955
20141005131553.log 224.311 27.9842
20141005132553.log 226.762 26.7706
20141005134554.log 231.496 24.1972
20141005142557.log 240.352 18.5551
20141005143557.log 242.444 17.0655
20141005144557.log 244.498 15.5475
20141005145558.log 246.528 13.9933
20141005153600.log 254.319 7.58454
20141006094001.log 160.655 35.7918
20141006095001.log 163.674 36.3099
20141006121653.log 208.56 33.5661
20141006125654.log 219.388 29.759
20141006140658.log 236.083 20.9444
20141006141658.log 238.257 19.5161
20141006151659.log 250.457 10.3431
20141006152700.log 252.386 8.72977
20141007083012.log 141.36 29.7222
20141007131349.log 223.507 27.4968
20141007132350.log 225.99 26.2817
20141007141352.log 237.414 19.61
20141007145354.log 245.743 13.6212
20141007150355.log 247.734 12.0574
20141007152355.log 251.626 8.86817
20141007154357.log 255.422 5.60712
20141008061603.log 111.544 11.1679
20141008082445.log 140.202 28.8178
20141008083445.log 142.778 29.8686
20141008090446.log 150.891 32.6505
20141008093448.log 159.502 34.7822
20141008094449.log 162.47 35.3335
20141008095450.log 165.474 35.7995
20141008100450.log 168.517 36.1795
20141008101451.log 171.588 36.4705
20141008103452.log 177.78 36.7801
20141008111454.log 190.167 36.298
20141008112455.log 193.216 35.9514
20141008114456.log 199.222 34.9963
20141008115457.log 202.157 34.3941
20141008120457.log 205.044 33.7121
20141008121458.log 207.883 32.952
20141008122459.log 210.668 32.1181
20141008125500.log 218.67 29.2106
20141008131501.log 223.709 26.9686
20141008132501.log 226.14 25.7678
20141008152508.log 251.667 8.33295
20141008153516.log 253.584 6.69784
20141008154516.log 255.45 5.07406
20141009054419.log 105.787 5.8578
20141009060420.log 109.603 9.08959
20141009061420.log 111.548 10.679
20141009062421.log 113.488 12.2211
20141009063422.log 115.486 13.7608
20141009064423.log 117.523 15.28
20141009073425.log 128.346 22.4138
20141009084428.log 145.595 30.5118
20141009085428.log 148.291 31.4366
20141009090429.log 151.044 32.2927
20141009091429.log 153.847 33.0753
20141009092430.log 156.707 33.7838
20141009093431.log 159.611 34.4126
20141009094432.log 162.564 34.9611
20141009100432.log 168.579 35.8026
20141009101432.log 171.629 36.0917
20141009102433.log 174.703 36.2913
20141009103433.log 177.74 36.3989
20141009105434.log 183.919 36.3444
20141009110435.log 187.041 36.1772
20141009111435.log 190.058 35.9257
20141009112436.log 193.137 35.5767
20141009113436.log 196.143 35.1444
20141009114437.log 199.112 34.627
20141009115437.log 202.032 34.0281
20141009120438.log 204.901 33.3508
20141009121439.log 207.728 32.5947
20141009123440.log 213.214 30.8668
20141009124441.log 215.878 29.8987
20141009125441.log 218.47 28.8726
20141009130442.log 221.018 27.7815
20141009131442.log 223.499 26.6379
20141009150447.log 247.531 11.2374
20141009151447.log 249.478 9.65899
20141009152448.log 251.404 8.05521
20141009153449.log 253.308 6.43333
20141010054635.log 106.516 5.98503
20141010055650.log 109.392 8.4196
20141010064818.log 118.661 15.6311
20141010071820.log 125.008 19.9278
20141010074822.log 131.841 23.9338
20141010102829.log 176.016 35.9693
20141010103833.log 179.11 36.0395
20141010104834.log 182.14 36.0186
20141010110835.log 188.303 35.702
20141010111835.log 191.335 35.4099
20141010112835.log 194.339 35.0303
20141010113836.log 197.315 34.564
20141010114836.log 200.246 34.0151
20141010115837.log 203.138 33.3841
20141010120959.log 206.362 32.5738
20141010124000.log 214.539 29.9852
20141010130001.log 219.712 27.9299
20141010131002.log 222.215 26.8131
20141010132002.log 224.662 25.6419
20141010151008.log 248.386 10.0593
20141010153009.log 252.23 6.85738
20141010154009.log 254.088 5.25557
20141011065633.log 120.655 16.5738
20141011070634.log 122.774 18.0177
20141011071634.log 124.937 19.4272
20141011072634.log 127.107 20.777
20141011100516.log 169.085 35.0942
20141011101517.log 172.11 35.3694
20141011111519.log 190.329 35.1367
20141011114520.log 199.228 33.8286
20141011115520.log 202.116 33.2269
20141011120521.log 205 32.5359
20141011121522.log 207.755 31.7895
20141011123522.log 213.18 30.0633
20141011125523.log 218.386 28.072
20141011130523.log 220.94 26.9702
20141011131524.log 223.367 25.8441
20141011132525.log 225.812 24.6305
20141011134526.log 230.465 22.0961
20141011135526.log 232.714 20.7641
20141011140527.log 234.919 19.3898
20141011141527.log 237.075 17.9809
20141011142528.log 239.192 16.5351
20141011143528.log 241.265 15.0599
20141011151529.log 249.229 8.87976
20141011152530.log 251.149 7.27853
20141011153530.log 253.043 5.66173
20141012061823.log 113.196 10.5366
20141012062823.log 115.2 12.103
20141012072825.log 127.828 20.7645
20141012073825.log 130.085 22.0819
20141012074826.log 132.36 23.3392
20141012075827.log 134.758 24.5872
20141012080827.log 137.153 25.7569
20141012081827.log 139.597 26.8725
20141012082827.log 142.118 27.9415
20141012083828.log 144.698 28.9525
20141012084828.log 147.329 29.8988
20141012101832.log 173.17 35.0672
20141012102833.log 176.196 35.2222
20141012103834.log 179.242 35.2874
20141012104834.log 182.279 35.2623
20141012105835.log 185.31 35.1474
20141012123839.log 213.951 29.3829
20141012124840.log 216.594 28.3841
20141012125841.log 219.104 27.3543
20141012133843.log 228.741 22.6317
20141012135844.log 233.253 19.9854
20141012142847.log 239.706 15.7092
20141012150848.log 247.716 9.62766
20141012151849.log 249.647 8.04478
20141012152849.log 251.553 6.44215
20141013062122.log 114.09 10.7622
20141013063122.log 116.081 12.3022
20141013065123.log 120.158 15.2962
20141013073247.log 129.055 21.0476
20141013074248.log 131.355 22.3566
20141013075248.log 133.644 23.5869
20141013080249.log 136.06 24.8077
20141013101418.log 172.006 34.6083
20141013102419.log 175.06 34.8
20141013112422.log 193.056 34.0626
20141013113423.log 195.994 33.6344
20141013120423.log 204.615 31.8513
20141013121424.log 207.389 31.1035
20141013122424.log 210.067 30.2976
20141013123425.log 212.778 29.3956
20141013133429.log 227.613 22.8155
20141013134429.log 229.938 21.5177
20141013135430.log 232.15 20.2134
20141013140430.log 234.346 18.8515
20141013141430.log 236.496 17.4522
20141013142431.log 238.64 15.9938
20141013150433.log 246.722 9.94447
20141013151433.log 248.632 8.39622
20141013152434.log 250.552 6.79846
20141013153434.log 252.469 5.16562
20141014065708.log 121.594 15.8391
20141014070709.log 123.704 17.2659
20141014071709.log 125.888 18.6782
20141014072710.log 128.089 20.0338
20141014073710.log 130.332 21.3465
20141014074711.log 132.593 22.5991
20141014075711.log 134.969 23.8405
20141014081712.log 139.777 26.1193
20141014090714.log 152.827 30.8233
20141014091714.log 155.585 31.5581
20141014092714.log 158.394 32.2191
20141014093715.log 161.251 32.8028
20141014094716.log 164.152 33.3068
20141014114723.log 199.725 32.578
20141014115723.log 202.561 31.9633
20141014120723.log 205.347 31.273
20141014123724.log 213.434 28.7621
20141014125725.log 218.588 26.7466
20141014130726.log 221.049 25.6648
20141014131727.log 223.456 24.529
20141014132727.log 225.831 23.3323
20141014134728.log 230.428 20.7962
20141014135729.log 232.679 19.4472
20141014140729.log 234.823 18.097
20141014141729.log 236.956 16.6898
20141014142730.log 239.083 15.2242
20141014143731.log 241.109 13.7707
20141014144731.log 243.138 12.2611
20141014145731.log 245.146 10.7142
20141014150732.log 247.111 9.15258
20141014151732.log 249.01 7.60015
20141014152732.log 250.914 6.00393
20141015075652.log 135.113 23.4899
20141015080652.log 137.531 24.6752
20141015081653.log 139.958 25.7864
20141015082653.log 142.467 26.8542
20141015083654.log 144.978 27.8427
20141015085654.log 150.227 29.6567
20141015090655.log 152.973 30.4748
20141015093657.log 161.327 32.4374
20141015094657.log 164.205 32.9377
20141015095657.log 167.115 33.3555
20141015105700.log 184.965 34.0458
20141015110701.log 187.986 33.8486
20141015113702.log 196.726 32.756
20141015114703.log 199.599 32.2225
20141015121704.log 207.931 30.1625
20141015133708.log 227.927 21.7818
20141015134708.log 230.192 20.4977
20141015135708.log 232.409 19.1712
20141015140709.log 234.618 17.782
20141016055007.log 108.914 5.08191
20141016060007.log 110.809 6.6733
20141016061235.log 113.207 8.63232
20141016070238.log 123.284 16.0846
20141016071239.log 125.414 17.4859
20141016073240.log 129.808 20.1768
20141016074240.log 132.065 21.4545
20141016075241.log 134.374 22.689
20141016080242.log 136.773 23.8944
20141016080616.log 137.627 24.3048
20141016081617.log 140.033 25.4085
20141016082618.log 142.51 26.4662
20141016084618.log 147.636 28.4065
20141016121627.log 207.687 29.8453
20141016122628.log 210.364 29.0181
20141016123629.log 212.995 28.1215
20141016124629.log 215.56 27.165
20141016125630.log 218.082 26.1439
20141016130630.log 220.55 25.0645
20141016131631.log 222.962 23.9321
20141016132632.log 225.366 22.7258
20141016134633.log 229.91 20.2282
20141016135633.log 232.125 18.9069
20141016140634.log 234.287 17.5503
20141016150147.log 245.598 9.41243
20141016152148.log 249.438 6.28068
20141017061857.log 114.721 9.36535
20141205071626.log 132.791 6.09379
20141205072626.log 134.765 7.31778
20141205074807.log 139.129 9.81352
20141205075808.log 141.227 10.9117
20141205084810.log 152.062 15.5599
20141205090810.log 156.66 17.0361
20141205141952.log 228.464 5.23988
20141206071622.log 132.738 5.91329
20141206073623.log 136.716 8.32611
20141206081626.log 145.048 12.6078
20141206092811.log 161.253 18.1039
20141206093812.log 163.63 18.6157
20141206104816.log 180.697 20.2339
20141206121821.log 202.409 17.1563
20141206122821.log 204.715 16.4775
20141206124822.log 209.237 14.9369
20141206131823.log 215.786 12.1977
20141206132824.log 217.905 11.1781
20141206133824.log 219.989 10.1111
20141206135826.log 224.065 7.8347
20141208101022.log 171.188 19.5469
20141208103023.log 176.079 19.9223
20141208103906.log 178.248 19.996
20141208104906.log 180.672 20.0111
20141208111908.log 188.048 19.6199
20141208113910.log 192.897 19.0007
20141208125913.log 211.361 13.8754
20141208130914.log 213.538 12.9646
20141209071400.log 132.228 5.19791
20141209125416.log 210.158 14.2427
20141209130417.log 212.321 13.3741
20141209131418.log 214.517 12.4237
20141209132418.log 216.643 11.4361
20141209133419.log 218.71 10.4126
20141209141420.log 226.802 5.78514
20141210071958.log 133.344 5.79937
20141210080000.log 141.382 10.3795
20141210084002.log 149.963 14.207
20141210085002.log 152.175 15.0229
20141210100006.log 168.527 19.024
20141210101131.log 171.311 19.3652
20141210102131.log 173.721 19.5837
20141210103132.log 176.148 19.7321
20141210104132.log 178.597 19.8093
20141210105132.log 181.044 19.814
20141210105324.log 181.533 19.8063
20141211125512.log 210.064 14.0888
20141211130513.log 212.256 13.2091
